Stock,Date,Price,Open,High,Low,Vol.,Volume Numeric,Change %,,,,,,,
HDFC,31-10-2025,987.3,994,"1,004.45",981.15,23.22M,23220000,-1.09%,,,,,,,
HDFC,30-10-2025,998.15,"1,000.00","1,009.50",997.1,19.96M,19960000,-0.96%,,,,,,,
HDFC,29-10-2025,"1,007.85","1,004.90","1,012.50","1,000.00",17.77M,17770000,0.43%,,,,,,,
HDFC,28-10-2025,"1,003.55",997.65,"1,008.00",995,33.90M,33900000,0.06%,,,,,,,
HDFC,27-10-2025,"1,002.95",996.5,"1,009.05",996.2,15.70M,15700000,0.82%,,,,,,,
HDFC,24-10-2025,994.75,"1,011.00","1,011.95",991.3,17.71M,17710000,-1.39%,,,,,,,
HDFC,23-10-2025,"1,008.80","1,016.00","1,020.50","1,006.00",43.53M,43530000,0.11%,,,,,,,
HDFC,21-10-2025,"1,007.70","1,006.00","1,010.00","1,004.00",3.47M,3470000,0.47%,,,,,,,
HDFC,20-10-2025,"1,002.95",997,"1,020.00",997,22.20M,22200000,0.04%,,,,,,,
HDFC,17-10-2025,"1,002.55",993.95,"1,009.00",986,25.21M,25210000,0.82%,,,,,,,
HDFC,16-10-2025,994.35,982.65,996.6,981.5,22.94M,22940000,1.65%,,,,,,,
HDFC,15-10-2025,978.25,975,984.9,973.35,23.31M,23310000,0.11%,,,,,,,
HDFC,14-10-2025,977.15,970,980.45,967,22.93M,22930000,0.02%,,,,,,,
HDFC,13-10-2025,977,974.3,981,972,18.63M,18630000,-0.40%,,,,,,,
HDFC,10-10-2025,980.9,979,986.2,978.1,13.76M,13760000,0.39%,,,,,,,
HDFC,09-10-2025,977.1,974.5,979,970.15,15.37M,15370000,-0.16%,,,,,,,
HDFC,08-10-2025,978.7,976,985.9,974.55,15.94M,15940000,-0.39%,,,,,,,
HDFC,07-10-2025,982.5,974,989.85,971,25.54M,25540000,0.93%,,,,,,,
HDFC,06-10-2025,973.45,971.9,977.4,962,18.54M,18540000,0.86%,,,,,,,
HDFC,03-10-2025,965.15,952,966.75,952,26.66M,26660000,-0.01%,,,,,,,
HDFC,01-10-2025,965.25,952.7,969.6,946,25.35M,25350000,1.50%,,,,,,,
HDFC,30-09-2025,951,958.05,960,946.3,28.30M,28300000,0.07%,,,,,,,
HDFC,29-09-2025,950.3,946.05,956.8,939.1,32.40M,32400000,0.56%,,,,,,,
HDFC,26-09-2025,945.05,945.1,951.45,941.3,14.87M,14870000,-0.51%,,,,,,,
HDFC,25-09-2025,949.85,952.5,958,947.4,31.41M,31410000,-0.13%,,,,,,,
HDFC,24-09-2025,951.05,952.2,956.45,943,15.12M,15120000,-0.64%,,,,,,,
HDFC,23-09-2025,957.2,967,968.2,955.5,21.02M,21020000,-0.73%,,,,,,,
HDFC,22-09-2025,964.2,964,971.2,961.95,10.85M,10850000,-0.28%,,,,,,,
HDFC,19-09-2025,966.9,974.9,976.7,962.1,31.24M,31240000,-1.02%,,,,,,,
HDFC,18-09-2025,976.9,973.3,979.65,969.25,17.79M,17790000,1.08%,,,,,,,
HDFC,17-09-2025,966.5,965.15,974.4,964.35,17.36M,17360000,-0.04%,,,,,,,
HDFC,16-09-2025,966.85,961.2,969.35,961.2,18.66M,18660000,-0.02%,,,,,,,
HDFC,15-09-2025,967.05,969.6,972.35,965,14.49M,14490000,-0.03%,,,,,,,
HDFC,12-09-2025,967.3,969.9,970.75,962.25,14.36M,14360000,-0.05%,,,,,,,
HDFC,11-09-2025,967.8,960.3,969.25,959.9,15.11M,15110000,0.20%,,,,,,,
HDFC,10-09-2025,965.9,973.9,973.9,961.7,18.09M,18090000,0.08%,,,,,,,
HDFC,09-09-2025,965.15,974,974.4,962.7,13.99M,13990000,-0.09%,,,,,,,
HDFC,08-09-2025,966,969,973.15,960.45,11.71M,11710000,0.27%,,,,,,,
HDFC,05-09-2025,963.4,967.5,967.5,954.05,11.60M,11600000,0.22%,,,,,,,
HDFC,04-09-2025,961.25,960.2,965.7,956.25,17.60M,17600000,0.71%,,,,,,,
HDFC,03-09-2025,954.45,945,956.3,940,16.08M,16080000,1.05%,,,,,,,
HDFC,02-09-2025,944.5,951,954.8,944,14.20M,14200000,-0.64%,,,,,,,
HDFC,01-09-2025,950.6,949.6,957.45,946.35,20.18M,20180000,-0.11%,,,,,,,
HDFC,29-08-2025,951.6,954,963.3,950.1,14.82M,14820000,-0.65%,,,,,,,
HDFC,28-08-2025,957.8,967,972.2,955,25.44M,25440000,-1.60%,,,,,,,
HDFC,26-08-2025,973.4,979.5,985.7,968,16.92M,16920000,-0.88%,,,,,,,
